Typ;Kategorie;Artikelname (ZOZO);Größe;Preis;UID (wird gesendet);ExpertOrder Artikel-ID (leer lassen - im Kassensystem mappen!)
Produkt;Burger;Avocado Dream Burger;Medium;9.49;AVOCADO_DREAM_BURGER_MEDIUM;
Produkt;Burger;Avocado Dream Burger;Large;11.89;AVOCADO_DREAM_BURGER_LARGE;
Produkt;Burger;Bacon Burger;Medium;11.49;BACON_BURGER_MEDIUM;
Produkt;Burger;Bacon Burger;Large;14.29;BACON_BURGER_LARGE;
Produkt;Burger;Bacon Burger Deluxe;Medium;14.49;BACON_BURGER_DELUXE_MEDIUM;
Produkt;Burger;Bacon Burger Deluxe;Large;20.39;BACON_BURGER_DELUXE_LARGE;
Produkt;Burger;Champion Burger;Medium;8.69;CHAMPION_BURGER_MEDIUM;
Produkt;Burger;Champion Burger;Large;11.49;CHAMPION_BURGER_LARGE;
Produkt;Burger;Cheeseburger;Medium;9.19;CHEESEBURGER_MEDIUM;
Produkt;Burger;Cheeseburger;Large;12.29;CHEESEBURGER_LARGE;
Produkt;Burger;Chicken Nugget Burger;Normal;8.09;CHICKEN_NUGGET_BURGER;
Produkt;Burger;Chili Bacon Burger;Medium;9.99;CHILI_BACON_BURGER_MEDIUM;
Produkt;Burger;Chili Bacon Burger;Large;13.99;CHILI_BACON_BURGER_LARGE;
Produkt;Burger;Chili-Cheese Burger;Medium;9.49;CHILI-CHEESE_BURGER_MEDIUM;
Produkt;Burger;Chili-Cheese Burger;Large;11.89;CHILI-CHEESE_BURGER_LARGE;
Produkt;Burger;Crunchy Chicken Bacon Burger;Normal;10.39;CRUNCHY_CHICKEN_BACON_BURGER;
Produkt;Burger;Crunchy Chickenburger;Normal;9.49;CRUNCHY_CHICKENBURGER;
Produkt;Burger;Farmers Burger;Medium;8.79;FARMERS_BURGER_MEDIUM;
Produkt;Burger;Farmers Burger;Large;11.29;FARMERS_BURGER_LARGE;
Produkt;Burger;Greek Burger;Medium;9.49;GREEK_BURGER_MEDIUM;
Produkt;Burger;Greek Burger;Large;11.89;GREEK_BURGER_LARGE;
Produkt;Burger;Hamburger;Medium;7.99;HAMBURGER_MEDIUM;
Produkt;Burger;Hamburger;Large;11.19;HAMBURGER_LARGE;
Produkt;Burger;Italy Burger;Medium;9.99;ITALY_BURGER_MEDIUM;
Produkt;Burger;Italy Burger;Large;12.59;ITALY_BURGER_LARGE;
Produkt;Burger;Monster Bacon Burger;Medium;12.99;MONSTER_BACON_BURGER_MEDIUM;
Produkt;Burger;Monster Bacon Burger;Large;16.39;MONSTER_BACON_BURGER_LARGE;
Produkt;Burger;The Double Crunchy Burger;Normal;12.99;THE_DOUBLE_CRUNCHY_BURGER;
Produkt;Burger;Three Hundred Sixty Burger;Normal;17.49;THREE_HUNDRED_SIXTY_BURGER;
Produkt;Burger;Two Hundred Fifty Burger;Medium;13.99;TWO_HUNDRED_FIFTY_BURGER_MEDIUM;
Produkt;Burger;Veggie Burger;Normal;7.69;VEGGIE_BURGER;
Produkt;Classics;Rinder Currywurst;Normal;8.99;RINDER_CURRYWURST;
Produkt;Dessert;American ZOZO Brownie;Normal;3.49;AMERICAN_ZOZO_BROWNIE;
Produkt;Dessert;Miss Chocolic Muffin;Normal;3.49;MISS_CHOCOLIC_MUFFIN;
Produkt;Dessert;Tiramizozo;Normal;3.49;TIRAMIZOZO;
Produkt;Dips;BBQ-Sauce;Normal;1.99;BBQ-SAUCE;
Produkt;Dips;Chilisauce;Normal;1.49;CHILISAUCE;
Produkt;Dips;Curry Sauce;Normal;1.99;CURRY_SAUCE;
Produkt;Dips;Ketchup;Normal;0.99;KETCHUP;
Produkt;Dips;Knobi-Dip;Normal;1.99;KNOBI-DIP;
Produkt;Dips;Mayonnaise;Normal;0.99;MAYONNAISE;
Produkt;Dips;Remoulade;Normal;1.99;REMOULADE;
Produkt;Dips;Snack Dressing;Normal;1.99;SNACK_DRESSING;
Produkt;Dips;Sour Cream;Normal;1.99;SOUR_CREAM;
Produkt;Dips;Sweet Chili-Sauce;Normal;1.19;SWEET_CHILI-SAUCE;
Produkt;Dips;Sweet&Sour-Sauce;Normal;0.99;SWEET&SOUR-SAUCE;
Produkt;Fingerfood;Chicken Nuggets;Normal;6.99;CHICKEN_NUGGETS;
Produkt;Fingerfood;Chicken Wings;Normal;7.99;CHICKEN_WINGS;
Produkt;Fingerfood;Chili-Cheese Nuggets;Normal;6.89;CHILI-CHEESE_NUGGETS;
Produkt;Fingerfood;Country Potatoes;Normal;4.89;COUNTRY_POTATOES;
Produkt;Fingerfood;Crunchy Wings;Normal;8.49;CRUNCHY_WINGS;
Produkt;Fingerfood;Fingerfood-Box 15 Stück;Normal;12.39;FINGERFOOD-BOX_15_STÜCK;
Produkt;Fingerfood;French fries;Normal;4.99;FRENCH_FRIES;
Produkt;Fingerfood;Mozzarella Sticks;Normal;5.69;MOZZARELLA_STICKS;
Produkt;Fingerfood;Onion Rings;Normal;5.99;ONION_RINGS;
Produkt;Fingerfood;Potato Dippers;Normal;4.99;POTATO_DIPPERS;
Produkt;Fingerfood;Spicy Chicken Stripes;Normal;7.29;SPICY_CHICKEN_STRIPES;
Produkt;Fingerfood;Sweet potato fries;Normal;5.49;SWEET_POTATO_FRIES;
Produkt;Fingerfood;Twister Fries;Normal;5.39;TWISTER_FRIES;
Produkt;Getränke;Coca Cola;Medium;2.99;COCA_COLA_MEDIUM;
Produkt;Getränke;Coca Cola;Large;3.89;COCA_COLA_LARGE;
Produkt;Getränke;Coca Cola Zero;Medium;2.99;COCA_COLA_ZERO_MEDIUM;
Produkt;Getränke;Coca Cola Zero;Large;3.89;COCA_COLA_ZERO_LARGE;
Produkt;Getränke;Fanta;Medium;2.99;FANTA_MEDIUM;
Produkt;Getränke;Fanta;Large;3.89;FANTA_LARGE;
Produkt;Getränke;Fuze Tea Pfirsich;Normal;3.14;FUZE_TEA_PFIRSICH;
Produkt;Getränke;Fuze Tea Zitrone;Normal;3.14;FUZE_TEA_ZITRONE;
Produkt;Getränke;Mezzo Mix;Medium;2.99;MEZZO_MIX_MEDIUM;
Produkt;Getränke;Mezzo Mix;Large;3.89;MEZZO_MIX_LARGE;
Produkt;Getränke;Sprite;Medium;3.24;SPRITE_MEDIUM;
Produkt;Getränke;Sprite;Large;4.04;SPRITE_LARGE;
Produkt;Getränke;ViO Apfelschorle;Normal;3.04;VIO_APFELSCHORLE;
Produkt;Getränke;ViO Johannisbeerschorle;Normal;3.04;VIO_JOHANNISBEERSCHORLE;
Produkt;Getränke;ViO Medium;Normal;2.74;VIO_MEDIUM;
Produkt;Getränke;ViO Rhabarberschorle;Normal;3.04;VIO_RHABARBERSCHORLE;
Produkt;Getränke;ViO Still;Normal;2.74;VIO_STILL;
Produkt;Kiddy Zone;Kiddy Cheeseburger;Normal;9.49;KIDDY_CHEESEBURGER;
Produkt;Kiddy Zone;Kiddy Chicken Nuggets (4 Stück);Normal;9.49;KIDDY_CHICKEN_NUGGETS_(4_STÜCK);
Produkt;Kiddy Zone;Kiddy Hamburger;Normal;9.49;KIDDY_HAMBURGER;
Produkt;Kiddy Zone;Kiddy Nuggets Burger;Normal;9.49;KIDDY_NUGGETS_BURGER;
Produkt;Pasta;Pasta Cream Chicken;Normal;13.49;PASTA_CREAM_CHICKEN;
Produkt;Pasta;Pasta Cream Gambas;Normal;15.99;PASTA_CREAM_GAMBAS;
Produkt;Pasta;Pasta Curry Cream Chicken;Normal;13.49;PASTA_CURRY_CREAM_CHICKEN;
Produkt;Pasta;Pasta Tomato Gambas;Normal;15.99;PASTA_TOMATO_GAMBAS;
Produkt;Pizza;Alanya;Medium;11.89;ALANYA_MEDIUM;
Produkt;Pizza;Alanya;Large;15.19;ALANYA_LARGE;
Produkt;Pizza;Boston;Medium;11.45;BOSTON_MEDIUM;
Produkt;Pizza;Boston;Large;14.75;BOSTON_LARGE;
Produkt;Pizza;Bronx;Medium;10.99;BRONX_MEDIUM;
Produkt;Pizza;Bronx;Large;14.49;BRONX_LARGE;
Produkt;Pizza;Chicago;Medium;11.29;CHICAGO_MEDIUM;
Produkt;Pizza;Chicago;Large;14.19;CHICAGO_LARGE;
Produkt;Pizza;Dallas;Medium;13.49;DALLAS_MEDIUM;
Produkt;Pizza;Dallas;Large;16.69;DALLAS_LARGE;
Produkt;Pizza;Detroit;Medium;12.99;DETROIT_MEDIUM;
Produkt;Pizza;Detroit;Large;14.19;DETROIT_LARGE;
Produkt;Pizza;Greenwood (Vegetarisch);Medium;11.89;GREENWOOD_(VEGETARISCH)_MEDIUM;
Produkt;Pizza;Greenwood (Vegetarisch);Large;15.19;GREENWOOD_(VEGETARISCH)_LARGE;
Produkt;Pizza;Hawaii;Medium;9.69;HAWAII_MEDIUM;
